交易日期,縣市,鄉鎮市區,土地位置建物門牌,建物型態,建坪,屋齡,總價_萬,單價_萬每坪,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建築完成年月,移轉層次,總樓層數
2026-02-01,新北市,板橋區,新北市板橋區懷德街２０１巷３４號五樓,住宅大樓(11層含以上有電梯),46.63037674863913,20.6,2398.0,57.459501977500004,3,2,2,0940706,五層,十一層
2026-01-30,新北市,板橋區,新北市板橋區華江三路１４２號九樓,住宅大樓(11層含以上有電梯),40.95850153594381,1.1,2628.0,73.637683189,3,2,2,1131227,九層,二十二層
2026-01-29,新北市,板橋區,新北市板橋區四維路１７５之１號三樓,公寓(5樓含以下無電梯),29.78112611679223,,1180.0,39.622477853,3,2,1,,三層，陽台,五層
2026-01-27,新北市,板橋區,新北市板橋區館前東路１１２之１號九樓,住宅大樓(11層含以上有電梯),69.49332760599978,35.6,3332.0,47.94710564,6,2,3,0790608,九層，十層,二十層
2026-01-26,新北市,板橋區,新北市板橋區四維路１０３巷３３號,公寓(5樓含以下無電梯),20.754525778294717,,1720.0,82.873385322,0,0,0,,一層，平台,四層
2026-01-25,新北市,板橋區,新北市板橋區新府路１之５號五樓,住宅大樓(11層含以上有電梯),78.74377795289168,18.3,5255.0,89.996029683,4,2,2,0961011,五層,二十四層
2026-01-25,新北市,板橋區,新北市板橋區南雅西路一段１３６之５號十五樓,住宅大樓(11層含以上有電梯),25.54915095809316,0.4,1900.0,74.3666087815,2,2,1,1140910,十五層,二十四層
2026-01-25,新北市,板橋區,新北市板橋區長江路二段５５號十六樓,住宅大樓(11層含以上有電梯),41.751051565664426,27.6,1985.0,54.32925416100001,2,2,2,0870622,十六層,二十六層
2026-01-24,新北市,板橋區,新北市板橋區金門街１５１巷４０弄８號,公寓(5樓含以下無電梯),15.784450591916896,,925.0,58.6019812735,2,1,1,,一層,三層
2026-01-24,新北市,板橋區,新北市板橋區四維路１７５之１號五樓,公寓(5樓含以下無電梯),29.78112611679223,,1060.0,35.593056516500006,3,2,1,,五層，陽台,五層
2026-01-22,新北市,板橋區,新北市板橋區國慶路１８２巷２號七樓,住宅大樓(11層含以上有電梯),31.075826165343482,30.5,1606.0,51.679998062,3,2,2,0840727,七層,十四層
2026-01-22,新北市,板橋區,新北市板橋區民族路１００號十三樓,住宅大樓(11層含以上有電梯),114.24820428430766,11.4,8000.0,84.12925304350001,0,0,0,1030916,十三層,十八層
2026-01-21,新北市,板橋區,新北市板橋區藝文街６６號十一樓,住宅大樓(11層含以上有電梯),52.299226961221,0.5,3000.0,68.8234684935,2,2,2,1140721,十一層,二十四層
2026-01-19,新北市,板橋區,新北市板橋區大仁街４１號四樓之１,華廈(10層含以下有電梯),12.96817548630658,31.2,800.0,61.6895844635,0,1,1,0831114,四層,七層
2026-01-19,新北市,板橋區,新北市板橋區華江一路１７０號九樓,住宅大樓(11層含以上有電梯),27.3429760253616,7.1,1550.0,64.345121554,2,1,1,1071227,九層,十九層
2026-01-19,新北市,板橋區,新北市板橋區大觀路二段２６５巷１弄３０號,公寓(5樓含以下無電梯),21.84050081901878,,1100.0,50.3652873675,4,1,2,,一層,三層
2026-01-19,新北市,板橋區,新北市板橋區三民路二段居仁巷４２號四樓,公寓(5樓含以下無電梯),32.258601209697545,36.9,1280.0,39.679337355,3,2,2,0780314,四層,五層
2026-01-18,新北市,板橋區,新北市板橋區莊敬路６５之１號十樓,住宅大樓(11層含以上有電梯),65.49730245614884,18.2,4650.0,75.4125591555,4,2,2,0961115,十層,十五層
2026-01-18,新北市,板橋區,新北市板橋區和平路安樂巷５２弄７號二樓,公寓(5樓含以下無電梯),24.41477591555409,42.7,960.0,39.320329104,3,1,1,0720513,二層,五層
2026-01-18,新北市,板橋區,新北市板橋區民權路２６０巷１３號四樓,公寓(5樓含以下無電梯),33.36877625132911,46.4,1668.0,49.986774985000004,3,2,2,0680810,四層，陽台,五層
2026-01-17,新北市,板橋區,新北市板橋區大觀路二段１５３巷１４號五樓,公寓(5樓含以下無電梯),24.596275922360345,,788.0,32.0373541705,2,2,1,,五層,五層
2026-01-17,新北市,板橋區,新北市板橋區大觀路三段６２巷３號二樓,華廈(10層含以下有電梯),34.61810129817879,1.4,1500.0,49.00958493900001,2,2,2,1130808,二層,七層
2026-01-16,新北市,板橋區,新北市板橋區中山路二段９０巷７號十一樓,住宅大樓(11層含以上有電梯),83.6987281387023,20.8,4380.0,59.9619812225,4,2,2,0940330,十一層,十四層
2026-01-16,新北市,板橋區,新北市板橋區和平路１７４巷３０號二樓,公寓(5樓含以下無電梯),23.76440089116503,50.7,1030.0,43.342147135,3,2,1,0640418,二層,三層
2026-01-16,新北市,板橋區,新北市板橋區吳鳳路１７巷２６弄１２號二樓,公寓(5樓含以下無電梯),35.20797632029911,,1538.0,43.68330414700001,3,2,2,,二層,五層
2026-01-15,新北市,板橋區,新北市板橋區僑中一街１０２巷１弄１４號五樓,公寓(5樓含以下無電梯),27.46095102978566,,1200.0,43.698510758,2,2,1,,五層,五層
2026-01-13,新北市,板橋區,新北市板橋區民族路２３８號八樓,住宅大樓(11層含以上有電梯),40.78607652947786,4.7,2350.0,70.3071048015,3,1,1,1100427,八層,二十六層
2026-01-12,新北市,板橋區,新北市板橋區仁化街４６之１號五樓,公寓(5樓含以下無電梯),27.709001039087536,,1300.0,46.9160312985,3,1,1,,五層,五層
2026-01-12,新北市,板橋區,新北市板橋區永翠路１０６號十四樓,住宅大樓(11層含以上有電梯),46.18570173196382,5.7,2595.0,64.575865347,3,2,2,1090420,十四層,十五層
2026-01-12,新北市,板橋區,新北市板橋區中山路二段９０巷１９號七樓,住宅大樓(11層含以上有電梯),38.46892644258474,20.8,2390.0,72.82545181450001,2,2,1,0940330,七層,十四層
2026-01-12,新北市,板橋區,新北市板橋區環河西路五段１５３號九樓,住宅大樓(11層含以上有電梯),35.964226348658485,3.4,1735.0,48.242312240500006,2,1,1,1110803,九層,十三層
2026-01-11,新北市,板橋區,新北市板橋區民生路三段２５０號九樓之一,住宅大樓(11層含以上有電梯),32.827301231023796,30.0,1750.0,53.3094194885,2,2,2,0850120,九層,二十六層
2026-01-11,新北市,板橋區,新北市板橋區僑中二街１００巷２０號二樓,公寓(5樓含以下無電梯),24.393600914760032,,930.0,38.1246266695,3,2,2,,二層,五層
2026-01-10,新北市,板橋區,新北市板橋區華東街２７８號二十三樓,住宅大樓(11層含以上有電梯),47.4441017791538,9.9,3830.0,90.19702141100001,3,2,2,1050205,二十三層,二十四層
2026-01-10,新北市,板橋區,新北市板橋區華江一路１１７號六樓之２０,住宅大樓(11層含以上有電梯),24.40872591532722,2.3,1360.0,73.766608804,1,1,1,1120908,六層,十九層
2026-01-10,新北市,板橋區,新北市板橋區大仁街１１８號三樓,公寓(5樓含以下無電梯),21.807225817770966,50.1,952.0,43.6552049745,3,2,1,0641117,三層,四層
2026-01-10,新北市,板橋區,新北市板橋區廣和街６０號五樓,住宅大樓(11層含以上有電梯),20.56697577126159,17.1,1052.0,51.1500807265,2,1,1,0971120,五層,十三層
2026-01-10,新北市,板橋區,新北市板橋區民生路二段１９４號六樓,住宅大樓(11層含以上有電梯),26.00895097533566,31.2,1615.0,62.093881969,2,1,1,0831116,六層,十二層
