交易日期,縣市,鄉鎮市區,土地位置建物門牌,建物型態,建坪,屋齡,總價_萬,單價_萬每坪,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建築完成年月,移轉層次,總樓層數
2025-12-27,新北市,永和區,新北市永和區仁愛路３５２巷１３２弄２號三樓,公寓(5樓含以下無電梯),21.81327581799784,42.1,980.0,44.92660988550001,2,1,1,0721129,三層,五層
2025-12-25,新北市,永和區,新北市永和區環河西路二段１８７號四樓之一,住宅大樓(11層含以上有電梯),36.01565135058692,26.3,2057.0,57.114047445,3,2,2,0880827,四層,二十二層
2025-12-25,新北市,永和區,新北市永和區保生路２２巷１９弄２２號八樓,住宅大樓(11層含以上有電梯),36.03380135126755,29.8,2050.0,56.89090695750001,3,2,2,0850322,八層,二十五層
2025-12-24,新北市,永和區,新北市永和區保平路２９２巷１３弄１４號四樓,公寓(5樓含以下無電梯),37.370851401406924,46.1,1590.0,42.546444685500006,4,2,2,0681120,四層，陽台,五層
2025-12-23,新北市,永和區,新北市永和區永和路一段１５１巷１號三樓,公寓(5樓含以下無電梯),34.41542629057848,52.4,1750.0,50.8492542915,5,1,2,0620810,三層,四層
2025-12-21,新北市,永和區,新北市永和區中山路一段３８號十五樓之一,住宅大樓(11層含以上有電梯),16.900675633775336,15.3,1330.0,78.6952036605,1,1,1,0990910,十五層,十五層
2025-12-21,新北市,永和區,新北市永和區中正路６６６巷１０號三樓,華廈(10層含以下有電梯),26.015000975562536,26.6,1685.0,64.770245505,3,2,2,0880510,三層,六層
2025-12-21,新北市,永和區,新北市永和區博愛街４５巷１０號十一樓,住宅大樓(11層含以上有電梯),16.77362562901096,27.9,1190.0,70.944790728,1,1,1,0870112,十一層,十三層
2025-12-21,新北市,永和區,新北市永和區中山路一段３８號四樓之一,住宅大樓(11層含以上有電梯),17.61155066043315,15.3,1360.0,77.2221458645,1,1,1,0990910,四層,十五層
2025-12-20,新北市,永和區,新北市永和區永和路一段７２巷１１號十五樓,住宅大樓(11層含以上有電梯),23.440725879027223,0.5,1685.0,71.8833030895,1,1,1,1140624,十五層,二十三層
2025-12-19,新北市,永和區,新北市永和區永和路一段７２巷２１號十四樓,住宅大樓(11層含以上有電梯),49.16532684369975,0.5,3860.0,82.59173244,4,2,2,1140624,十四層,二十三層
2025-12-19,新北市,永和區,新北市永和區水源街４５巷１２號四樓,華廈(10層含以下有電梯),37.38900140208755,42.8,1930.0,51.6195021965,3,2,2,0720303,四層,七層
2025-12-18,新北市,永和區,新北市永和區成功路二段１９９之２號三樓,華廈(10層含以下有電梯),22.10367582888784,34.0,1337.0,60.487601037500006,1,2,1,0801202,三層,七層
2025-12-18,新北市,永和區,新北市永和區保平路２９２巷５６號五樓,公寓(5樓含以下無電梯),30.706776151504105,47.4,1828.0,59.5309068585,3,2,2,0670809,五層，陽台,五層
2025-12-18,新北市,永和區,新北市永和區博愛街４９巷２號四樓,公寓(5樓含以下無電梯),27.20685102025691,47.6,1610.0,59.17619612800001,3,0,3,0670503,四層，陽台,四層
2025-12-17,新北市,永和區,新北市永和區保安路１４９巷１７號四樓,公寓(5樓含以下無電梯),26.16625098123441,48.0,1260.0,48.153717202500005,3,2,1,0661212,四層，陽台,四層
2025-12-15,新北市,永和區,新北市永和區中正路５４２號四樓,住宅大樓(11層含以上有電梯),36.72652637724474,37.3,2000.0,54.4565268835,3,2,2,0770811,四層,十一層
